trade_date,open,high,low,close,vol
2018-01-31,55.0,55.88,51.2,51.26,372340.04
2018-02-01,49.97,51.6,49.01,50.03,218725.06
2018-02-02,54.0,55.03,52.02,55.03,254712.3
2018-02-05,55.0,60.53,53.88,60.53,360255.37
2018-02-06,58.7,60.45,54.48,54.48,349652.14
2018-02-07,56.4,59.48,54.5,57.99,387676.33
2018-02-08,56.88,60.89,55.15,57.17,367799.18
2018-02-09,53.8,54.7,51.45,51.45,340304.04
2018-02-12,52.5,53.5,51.45,52.29,184861.14
2018-02-13,53.8,57.52,53.11,57.52,225142.33
2018-02-14,61.5,63.27,60.0,63.24,404613.8
2018-02-28,65.67,65.67,56.92,56.92,460849.26
2018-03-01,52.7,53.8,51.23,52.44,464688.66
2018-03-02,51.55,53.71,51.31,53.0,354064.4
2018-03-05,52.18,52.58,48.7,51.12,343805.29
2018-03-06,50.25,51.08,49.71,50.38,240848.55
2018-03-07,50.48,51.4,47.18,47.92,362708.52
2018-03-08,47.0,49.53,46.33,49.33,305957.01
2018-03-09,49.0,50.65,47.8,49.91,317969.84
2018-03-12,49.64,51.0,49.3,49.78,233254.98
2018-03-13,49.77,54.76,48.11,53.91,478167.81
2018-03-14,52.32,53.49,49.76,49.86,369627.48
2018-03-15,48.0,49.0,47.46,48.22,224295.75
2018-03-16,48.03,49.68,48.01,48.08,156063.9
2018-03-19,47.51,48.0,46.51,47.0,169667.21
2018-03-20,46.33,47.49,45.88,46.41,157512.5
2018-03-21,46.92,49.45,46.71,47.64,249259.57
2018-03-22,47.56,47.94,46.1,46.29,164294.72
2018-03-23,43.07,44.19,41.66,41.66,253381.43
2018-03-26,40.0,41.35,38.13,40.97,195209.03
2018-03-27,41.52,42.8,41.51,41.73,176514.68
2018-03-28,40.4,41.45,39.8,40.01,141033.69
2018-03-29,40.45,40.81,40.04,40.73,117331.54
2018-03-30,41.0,43.33,40.41,42.33,208848.31
2018-04-02,41.7,42.59,41.02,41.23,168435.04
2018-04-03,40.0,40.5,39.51,39.8,142003.12
2018-04-04,41.9,43.7,41.31,41.46,252807.93
2018-04-09,40.26,41.23,39.5,40.72,144267.81
2018-04-10,40.9,42.26,40.12,41.5,158151.52
2018-04-11,41.79,42.5,41.1,41.58,139162.83
2018-04-12,41.3,42.1,40.8,40.86,110143.3
2018-04-13,41.0,41.5,40.61,40.78,83574.33
2018-04-16,40.0,40.49,39.51,40.01,107311.81
2018-04-17,40.11,41.87,39.36,40.82,176185.69
2018-04-18,40.95,43.2,40.5,42.71,255272.57
2018-04-19,42.88,44.68,42.2,43.77,271649.35
2018-04-20,43.2,44.08,42.73,42.85,186984.04
2018-04-23,43.1,43.1,39.5,40.14,219433.46
2018-04-24,39.8,40.81,39.02,40.65,137883.57
2018-04-25,40.13,40.97,39.9,40.47,104970.17
2018-04-26,40.58,40.58,39.0,39.04,104832.81
2018-04-27,38.97,39.49,36.12,36.76,176665.67
2018-05-16,35.3,39.85,35.3,37.89,229096.68
2018-05-17,37.45,37.8,35.69,35.98,168386.98
2018-05-18,36.01,36.01,32.64,33.38,243521.01
2018-05-21,33.55,34.11,33.31,33.72,117190.43
2018-05-22,33.66,36.5,33.38,36.22,237349.02
2018-05-23,35.69,35.69,34.81,34.87,135513.95
2018-05-24,35.38,35.76,34.88,34.91,109050.54
2018-05-25,34.91,35.25,33.45,33.8,109519.42
2018-05-28,33.92,34.44,33.18,33.84,94308.1
2018-05-29,34.07,35.99,34.07,34.82,173098.23
2018-05-30,33.95,34.48,33.4,33.68,123313.51
2018-05-31,33.68,34.48,33.68,34.21,91718.78
2018-06-01,33.87,34.26,33.36,33.73,82157.47
2018-06-04,34.0,35.15,33.7,34.54,102532.38
2018-06-05,34.45,35.15,34.31,34.82,92236.19
2018-06-06,34.84,34.84,34.31,34.44,77124.92
2018-06-07,34.8,36.53,34.63,36.02,199865.55
2018-06-08,35.78,37.19,35.01,36.6,203562.53
2018-06-11,36.5,36.74,35.53,35.96,99903.17
2018-06-12,35.65,35.86,34.31,35.2,101896.22
2018-06-13,34.76,34.83,33.5,33.66,107184.14
2018-06-14,33.4,34.05,32.8,32.87,81089.56
2018-06-15,33.07,33.4,32.07,32.21,64649.85
2018-06-19,31.3,31.31,28.99,29.05,125010.56
2018-06-20,28.86,29.42,28.57,29.25,68390.06
2018-06-21,29.25,29.31,27.25,27.29,95238.28
2018-06-22,27.01,27.78,26.28,27.65,71953.28
2018-06-25,27.65,28.37,27.49,27.54,75280.81
2018-06-26,26.8,28.46,26.5,28.08,68619.88
2018-06-27,28.17,28.36,27.52,27.63,53033.57
2018-06-28,27.71,28.07,26.99,27.12,49785.59
2018-06-29,27.3,29.58,27.3,28.9,97287.1
2018-07-02,28.6,28.75,27.3,27.8,81673.71
2018-07-03,27.71,29.35,27.61,28.99,121895.61
2018-07-04,28.76,28.77,27.5,27.91,88298.78
2018-07-05,27.8,28.12,26.8,26.89,58571.98
2018-07-06,27.1,28.09,26.6,27.47,75127.41
2018-07-09,27.4,28.1,27.4,28.03,56847.96
2018-07-10,28.18,28.22,27.49,27.91,53725.08
2018-07-11,27.36,27.38,26.36,26.83,64774.14
2018-07-12,26.8,28.28,26.7,27.84,91240.24
2018-07-13,28.14,28.29,27.56,27.75,58413.1
2018-07-16,27.99,28.45,27.6,27.89,65272.41
2018-07-17,27.63,27.7,27.06,27.58,55467.12
2018-07-18,27.75,28.07,27.2,27.28,52136.29
2018-07-19,27.1,27.52,26.66,26.81,46740.34
2018-07-20,26.7,27.09,26.05,26.96,61336.55
2018-07-23,26.88,27.12,26.58,27.03,49931.76
2018-07-24,26.99,28.09,26.85,27.78,96508.93
2018-07-25,27.8,28.1,27.4,27.49,62735.9
2018-07-26,27.47,28.28,27.3,27.76,90321.07
2018-07-27,27.5,27.57,26.8,27.01,61668.54
2018-07-30,27.33,27.65,26.87,27.0,51546.29
2018-07-31,26.85,26.95,26.52,26.71,39391.15
2018-08-01,26.72,26.95,26.04,26.09,42773.75
2018-08-02,25.8,25.85,23.9,24.51,85217.07
2018-08-03,24.51,24.64,23.4,23.44,57247.64
2018-08-06,23.7,23.75,22.82,23.02,50998.54
2018-08-07,23.29,23.59,22.68,23.57,51007.53
2018-08-08,23.54,24.87,23.24,23.7,79671.26
2018-08-09,23.5,24.8,23.14,24.21,85943.83
2018-08-10,24.01,24.4,23.71,23.98,62662.6
2018-08-13,23.5,24.05,23.15,23.99,56973.35
2018-08-14,23.99,24.7,23.5,24.33,69510.12
2018-08-15,24.01,24.13,23.2,23.31,60445.52
2018-08-16,22.66,23.2,22.25,22.93,53565.62
2018-08-17,23.19,23.29,22.36,22.4,40986.86
2018-08-20,22.56,22.89,22.32,22.82,41864.02
2018-08-21,22.95,23.4,22.74,23.12,54390.62
2018-08-22,23.22,23.46,23.03,23.03,39333.86
